,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-0.623100,-47.353600,232.70,183.40,127.90,103.40,96.10,102.50,134.20,130.30,113.70,150.40,145.90,146.20,,,,,,,,,,,,,,
-0.929400,-47.099400,135.80,92.60,130.40,121.00,93.00,101.20,106.60,86.00,117.60,93.00,91.70,103.00,,,,,,,,,,,,,,
-0.774700,-47.177500,151.50,153.10,186.00,92.00,95.60,93.10,186.00,165.20,115.00,148.00,138.00,46.00,,,,,,,,,,,,,,
-0.794400,-47.599700,22.20,120.20,120.70,85.80,92.90,120.80,100.80,95.30,84.60,95.30,60.00,70.40,,,,,,,,,,,,,,
-0.868100,-48.110300,109.50,111.30,124.30,109.30,99.80,96.70,83.00,99.00,99.10,140.30,38.70,,,,,,,,,,,,,,,
-0.165600,-49.978600,,,,,,,106.90,56.60,53.60,91.80,69.50,84.00,,,,,,,,,,,,,,
-0.794700,-51.623900,,,41.10,80.60,76.40,54.60,50.80,51.40,93.00,73.10,90.70,75.50,,,,,,,,,,,,,,
-0.506700,-61.785800,81.20,111.40,78.20,97.00,80.70,87.70,104.40,,87.70,104.10,93.00,,,,,,,,,,,,,,,
-0.873100,-61.931700,180.00,96.70,78.90,47.90,95.30,48.80,67.80,,99.10,95.00,69.10,,,,,,,,,,,,,,,
-0.367200,-62.775300,,,41.60,102.10,78.90,78.90,92.20,,80.90,74.90,68.60,,,,,,,,,,,,,,,
-0.420300,-65.015300,78.20,56.10,89.20,116.70,87.60,116.70,66.20,,66.50,99.50,103.20,,,,,,,,,,,,,,,
-0.344400,-67.535800,,,,,0.00,88.60,103.60,,,,,,,,,,,,,,,,,,,
-1.455800,-45.728100,71.20,110.00,105.10,94.60,52.20,82.10,99.30,102.60,108.50,50.90,108.30,113.50,,,,,,,,,,,,,,
-1.817500,-46.343900,45.50,90.70,64.50,82.50,41.30,107.00,76.70,51.70,71.60,87.10,62.30,90.60,,,,,,,,,,,,,,
-1.231400,-46.187800,148.90,78.60,95.60,85.10,89.60,56.90,99.80,93.50,75.80,96.40,46.60,49.20,,,,,,,,,,,,,,
-1.203600,-47.178100,96.90,112.80,87.70,101.60,85.60,170.00,119.50,76.60,101.60,63.90,72.20,77.20,,,,,,,,,,,,,,
-1.297500,-47.939400,45.20,117.80,90.50,79.00,128.20,,228.60,80.40,58.40,180.70,168.50,90.80,,,,,,,,,,,,,,
-1.132500,-47.628300,76.80,78.80,139.60,130.30,96.70,90.70,73.10,72.20,98.20,197.30,76.40,76.40,,,,,,,,,,,,,,
-1.655000,-47.491400,76.50,49.70,81.30,92.30,63.20,98.70,82.40,79.50,216.10,70.60,103.00,,,,,,,,,,,,,,,
-1.551700,-47.117200,116.50,80.70,82.60,106.80,53.80,87.10,126.20,89.90,59.80,55.10,97.40,,,,,,,,,,,,,,,
-1.038600,-47.913300,93.90,116.70,93.30,99.00,110.90,130.00,103.80,68.70,94.00,117.50,117.60,97.00,,,,,,,,,,,,,,
-1.211110,-47.386400,16.60,61.10,49.10,66.90,115.30,58.20,93.60,95.30,87.10,67.40,83.50,62.20,,,,,,,,,,,,,,
-1.435000,-48.437800,96.20,99.70,75.70,112.50,,,,,,,,,,,,,,,,,,,,,,
-1.961100,-48.206400,157.60,112.00,132.40,80.00,108.10,134.70,86.40,78.30,94.50,76.50,92.90,,,,,,,,,,,,,,,
-1.750300,-48.866900,180.80,101.30,77.30,109.80,131.00,101.00,102.00,113.50,83.50,101.70,108.30,,,,,,,,,,,,,,,
-1.094200,-48.398600,121.10,122.30,108.00,61.30,208.30,95.80,83.30,66.20,95.60,114.20,62.30,,,,,,,,,,,,,,,
-1.521100,-48.046100,62.70,94.40,89.90,99.20,,,76.10,55.50,81.40,54.70,80.00,,,,,,,,,,,,,,,
-1.123300,-51.996400,96.50,77.50,89.60,63.50,99.80,87.60,63.10,61.40,93.50,122.60,134.40,75.30,,,,,,,,,,,,,,
-1.792200,-51.434400,86.00,115.80,100.10,131.00,64.80,76.40,118.70,97.00,78.80,74.60,101.50,83.10,,,,,,,,,,,,,,
-1.801100,-53.480000,72.40,250.00,48.80,61.20,127.30,123.40,77.60,59.80,137.80,57.40,68.30,122.40,,,,,,,,,,,,,,
-1.500000,-54.871400,91.00,108.50,45.80,65.00,97.80,78.50,84.00,114.00,91.40,76.10,103.50,85.00,,,,,,,,,,,,,,
-1.888060,-55.115600,124.90,129.20,116.10,73.90,100.00,130.00,60.00,95.20,125.00,68.30,90.00,100.00,,,,,,,,,,,,,,
-1.932800,-58.255800,,,,,,93.00,97.70,,,,107.70,100.50,,,,,,,,,,,,,,
-1.458900,-61.633100,58.30,137.30,87.10,62.50,80.20,71.00,133.40,,74.20,107.00,113.40,,,,,,,,,,,,,,,
-1.394400,-61.979200,100.00,67.50,71.70,101.10,150.60,100.50,141.50,,106.00,66.50,61.80,,,,,,,,,,,,,,,
-1.887200,-62.436700,73.90,131.90,80.00,60.00,44.30,65.40,101.90,,92.90,108.30,149.80,,,,,,,,,,,,,,,
-1.821100,-66.600000,100.30,115.80,71.10,85.20,,,,,,,136.50,,,,,,,,,,,,,,,
-2.902200,-42.313100,47.80,76.80,114.00,43.70,63.40,93.00,75.40,84.70,,,,,,,,,,,,,,,,,,
-2.129400,-44.606900,,151.00,70.20,84.10,,112.60,99.90,115.90,102.90,145.40,118.20,125.00,,,,,,,,,,,,,,
-2.953900,-45.664700,79.10,97.40,65.70,65.30,101.40,60.60,69.00,126.80,88.10,101.60,116.70,89.40,,,,,,,,,,,,,,
-2.052200,-45.958300,109.90,127.80,86.60,99.10,80.70,120.00,71.50,70.40,135.10,55.90,69.70,83.10,,,,,,,,,,,,,,
-2.504700,-45.784200,40.60,60.20,60.20,70.20,72.50,86.60,154.50,63.90,95.70,94.80,74.30,133.50,,,,,,,,,,,,,,
-2.590300,-45.365300,81.20,53.00,79.60,69.20,90.00,64.20,66.40,70.00,72.20,54.60,55.80,70.20,,,,,,,,,,,,,,
-2.273900,-45.271100,87.30,138.10,92.80,75.90,80.90,72.00,62.50,129.50,97.80,69.80,63.70,65.40,,,,,,,,,,,,,,
-2.420800,-48.148900,93.90,135.70,104.40,113.10,97.80,98.00,106.90,105.40,59.60,85.10,101.30,,,,,,,,,,,,,,,
-2.782200,-48.352200,83.40,74.40,105.10,71.80,109.00,115.70,127.20,87.70,86.10,86.10,110.90,,,,,,,,,,,,,,,
-2.804400,-49.377800,114.50,184.40,89.00,93.90,,,64.00,80.00,81.20,120.90,90.30,,,,,,,,,,,,,,,
-2.449700,-49.438300,97.40,96.80,132.70,68.60,79.10,119.50,91.10,119.10,83.70,117.10,101.00,78.00,,,,,,,,,,,,,,
-2.785000,-50.453600,147.60,117.30,146.70,89.20,84.00,87.50,75.70,96.90,85.40,104.40,72.60,89.90,,,,,,,,,,,,,,
-2.453300,-50.922800,174.80,93.20,100.50,87.70,91.30,130.80,90.10,85.30,102.40,121.60,96.50,85.60,,,,,,,,,,,,,,
-2.245000,-51.179400,110.00,76.00,94.90,74.50,98.70,84.80,127.30,100.60,83.80,62.10,93.30,52.10,,,,,,,,,,,,,,
-2.650800,-55.720600,,,49.00,103.00,99.30,95.70,103.70,99.50,130.10,104.90,91.20,79.70,,,,,,,,,,,,,,
-2.700300,-59.699700,78.40,87.30,85.10,63.30,65.70,56.50,56.90,88.80,64.90,73.50,66.80,,,,,,,,,,,,,,,
-2.620000,-60.947800,126.90,109.00,70.10,82.70,112.80,81.50,93.80,,52.30,91.80,100.90,,,,,,,,,,,,,,,
-2.750000,-67.566700,74.40,94.60,84.10,,101.60,74.70,80.00,97.20,75.60,81.40,135.00,,,,,,,,,,,,,,,
-2.929700,-69.693100,,70.90,30.10,,,,,,,,83.90,,,,,,,,,,,,,,,
-3.670000,-38.981700,104.00,72.60,108.00,64.60,65.40,47.50,103.90,80.00,165.60,84.80,105.20,64.70,,,,,,,,,,,,,,
-3.363300,-39.829400,130.40,72.00,53.00,36.40,71.40,54.70,47.50,80.00,92.50,142.90,54.50,72.60,,,,,,,,,,,,,,
-3.673900,-39.241700,160.00,39.50,40.20,58.00,68.10,60.70,95.20,83.30,76.30,50.40,49.10,84.00,,,,,,,,,,,,,,
-3.945300,-39.411100,59.70,81.30,65.30,63.10,58.80,71.10,70.50,55.60,79.90,65.50,39.80,46.30,,,,,,,,,,,,,,
-3.696700,-40.340000,55.50,68.90,56.70,48.10,77.50,82.60,86.30,49.10,112.10,85.10,39.70,92.40,,,,,,,,,,,,,,
-3.723300,-41.975600,57.40,121.20,102.60,59.80,155.80,120.00,66.90,127.20,,,,,,,,,,,,,,,,,,
-3.903300,-42.229400,68.30,89.50,72.20,64.50,138.30,59.20,80.50,105.80,,,,,,,,,,,,,,,,,,
-3.462200,-42.373300,71.00,125.20,127.20,93.10,71.00,102.10,80.90,77.00,,,,,,,,,,,,,,,,,,
-3.364700,-42.723900,77.60,105.40,100.70,53.50,58.30,112.30,74.50,62.10,,,,,,,,,,,,,,,,,,
-3.553600,-43.873600,75.80,70.50,79.50,87.40,129.50,64.00,71.70,94.30,,,,,,,,,,,,,,,,,,
-3.459400,-43.898900,77.40,173.00,101.00,67.20,105.40,122.50,121.50,56.10,,,,,,,,,,,,,,,,,,
-3.625800,-43.112200,94.50,103.00,112.00,70.70,80.00,91.30,110.00,100.50,,,,,,,,,,,,,,,,,,
-3.940000,-43.520600,90.00,72.00,80.00,90.00,101.30,88.10,80.30,112.00,,,,,,,,,,,,,,,,,,
-3.043900,-43.236700,56.90,73.50,98.20,58.20,74.20,97.50,56.40,69.80,,,,,,,,,,,,,,,,,,
-3.632500,-44.376400,89.70,76.80,127.20,111.60,107.50,91.80,63.60,63.60,,,,,,,,,,,,,,,,,,
-3.709700,-44.293300,85.10,86.70,121.10,128.00,83.30,96.00,59.70,58.50,,,,,,,,,,,,,,,,,,
-3.943600,-44.017500,105.40,104.80,93.80,125.50,86.50,58.80,56.50,121.90,,,,,,,,,,,,,,,,,,
-2.927800,-44.079200,64.20,128.00,73.50,85.30,101.10,97.80,104.00,70.30,,,,,,,,,,,,,,,,,,
-4.007800,-44.466100,82.50,81.70,79.90,82.50,144.60,87.80,94.60,81.30,,,,,,,,,,,,,,,,,,
-3.549700,-44.583300,100.00,105.70,73.10,137.50,98.70,95.30,76.10,77.30,,,,,,,,,,,,,,,,,,
-3.846400,-44.890800,51.70,63.20,86.20,91.50,62.70,76.70,81.20,85.00,,,,,,,,,,,,,,,,,,
-3.765000,-45.220300,73.60,127.10,83.90,162.20,112.80,109.80,59.90,116.50,,,,,,,,,,,,,,,,,,
-3.658300,-45.443100,86.00,157.10,73.90,97.80,149.90,96.10,93.10,80.70,,,,,,,,,,,,,,,,,,
-3.402800,-45.010600,106.50,107.00,70.60,118.50,148.00,82.90,106.00,76.00,,,,,,,,,,,,,,,,,,
-3.424400,-45.669400,77.50,77.30,97.40,112.30,68.80,72.20,81.00,89.40,,,,,,,,,,,,,,,,,,
-4.220800,-46.165300,86.60,83.50,67.40,65.10,131.20,74.80,87.30,91.00,,,,,,,,,,,,,,,,,,
-2.950300,-48.966900,90.30,78.00,142.10,80.20,91.50,99.50,62.00,75.70,34.60,130.80,81.50,,,,,,,,,,,,,,,
-3.833600,-49.085800,62.20,79.60,140.50,90.60,140.50,110.30,123.20,112.50,101.50,111.00,120.00,,,,,,,,,,,,,,,
-3.015800,-49.796700,90.80,94.20,38.60,62.70,45.20,50.40,46.40,50.40,36.40,32.70,32.60,40.70,,,,,,,,,,,,,,
-3.116700,-59.950000,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.897800,-61.374700,100.40,100.30,,,,,,,,,113.00,41.40,,,,,,,,,,,,,,
-4.497500,-38.360600,44.20,101.20,74.50,43.70,52.60,55.00,77.30,73.10,73.90,126.40,60.60,57.30,,,,,,,,,,,,,,
-4.416400,-40.904200,91.00,56.00,103.00,36.00,44.20,55.00,67.20,50.00,32.00,76.20,51.00,62.00,,,,,,,,,,,,,,
-4.367800,-40.535600,48.00,109.80,84.60,54.20,45.20,47.20,94.20,136.20,89.70,105.60,144.30,58.70,,,,,,,,,,,,,,
-4.096900,-40.126400,83.30,55.60,70.40,33.40,28.70,54.20,38.60,61.70,124.80,72.50,64.20,34.20,,,,,,,,,,,,,,
-4.618600,-41.125000,,,,45.30,55.70,68.40,72.50,39.80,,,,,,,,,,,,,,,,,,
-4.102500,-42.535300,92.00,82.00,120.80,98.90,79.90,122.90,93.10,123.30,,,,,,,,,,,,,,,,,,
-4.152800,-42.946100,67.60,91.20,157.00,94.80,82.50,105.30,69.10,77.10,,,,,,,,,,,,,,,,,,
-4.454200,-43.877200,102.30,118.20,110.20,75.40,107.20,131.20,76.30,84.00,,,,,,,,,,,,,,,,,,
-4.464400,-43.931100,90.50,65.20,93.00,63.50,98.00,89.00,68.00,76.00,,,,,,,,,,,,,,,,,,
-4.420600,-43.649200,115.60,100.30,153.00,97.20,115.20,94.80,113.50,98.30,,,,,,,,,,,,,,,,,,
-4.624200,-43.465800,118.00,90.30,60.00,91.00,82.50,72.80,60.20,74.70,,,,,,,,,,,,,,,,,,
-4.162800,-44.165800,85.60,113.80,97.80,119.50,86.90,109.20,78.90,78.60,,,,,,,,,,,,,,,,,,
-4.576700,-44.599400,76.60,81.50,69.00,92.50,83.00,60.00,91.60,53.60,,,,,,,,,,,,,,,,,,
-5.101400,-44.960800,71.70,110.80,38.70,95.70,110.20,118.40,85.80,86.20,,,,,,,,,,,,,,,,,,
-4.372200,-44.334200,70.20,86.40,80.20,91.10,90.80,76.50,90.00,94.40,,,,,,,,,,,,,,,,,,
-4.030300,-45.771100,83.00,137.00,104.50,135.00,110.00,125.40,93.00,134.60,,,,,,,,,,,,,,,,,,
-4.742800,-45.180600,100.00,87.00,82.40,78.80,102.50,84.60,134.70,72.90,,,,,,,,,,,,,,,,,,
-4.861100,-46.007800,86.80,66.20,80.60,90.30,87.20,78.10,81.40,155.60,,,,,,,,,,,,,,,,,,
-4.560600,-45.125600,77.10,112.50,73.40,98.30,82.80,75.70,58.50,85.90,,,,,,,,,,,,,,,,,,
-4.240600,-45.358100,83.10,107.10,148.50,106.70,93.50,68.50,80.00,52.80,,,,,,,,,,,,,,,,,,
-4.298900,-46.493600,83.40,104.50,53.00,65.20,76.90,99.10,94.30,94.40,,,,,,,,,,,,,,,,,,
-4.409400,-46.749200,55.60,62.80,43.90,78.20,61.20,148.80,52.80,58.50,,,,,,,,,,,,,,,,,,
-4.286700,-47.559200,142.20,96.80,116.80,87.50,67.90,149.10,64.30,88.60,76.40,156.50,101.00,85.40,,,,,,,,,,,,,,
-4.829700,-47.269200,84.60,87.60,,,,73.10,81.60,53.30,97.00,97.60,111.20,146.30,,,,,,,,,,,,,,
-4.930800,-47.496700,104.30,164.50,132.00,89.70,92.20,93.40,93.30,73.90,89.90,76.40,135.10,144.00,,,,,,,,,,,,,,
-4.462800,-49.119700,107.20,131.60,129.20,77.60,84.50,122.40,138.70,134.40,97.00,122.90,111.70,,,,,,,,,,,,,,,
-4.240000,-49.954200,,,,,39.40,26.50,93.60,95.60,70.70,95.20,131.60,87.80,,,,,,,,,,,,,,
-4.134400,-70.548900,61.20,98.20,62.80,,68.40,65.60,50.60,55.30,85.80,65.80,65.80,75.40,,,,,,,,,,,,,,
-5.845800,-35.523300,38.00,40.00,205.70,98.00,93.00,130.00,45.00,115.00,51.20,52.70,54.50,43.20,,,,,,,,,,,,,,
-5.631900,-36.916100,72.00,49.00,56.00,39.00,103.50,62.00,62.00,64.50,64.20,70.90,80.80,82.60,,,,,,,,,,,,,,
-5.257200,-36.723300,55.80,115.00,61.00,34.50,77.10,54.20,50.00,72.50,61.60,59.70,31.00,76.50,,,,,,,,,,,,,,
-5.643600,-37.255300,94.80,103.50,67.30,32.40,68.30,64.80,54.60,85.20,76.20,78.80,73.70,68.70,,,,,,,,,,,,,,
-5.867200,-37.314700,68.60,59.00,78.00,66.50,37.80,145.50,44.30,68.00,70.10,85.00,108.80,110.00,,,,,,,,,,,,,,
-5.450000,-37.515000,93.00,120.00,114.00,40.00,45.00,79.00,98.20,64.90,59.50,128.00,59.20,110.90,,,,,,,,,,,,,,
-5.219400,-37.362200,57.00,75.50,103.20,33.00,67.80,57.80,31.50,137.60,47.60,108.20,42.40,45.90,,,,,,,,,,,,,,
-5.466900,-38.407500,94.10,92.00,74.50,31.50,66.50,56.20,51.00,68.00,48.50,142.00,62.50,68.50,,,,,,,,,,,,,,
-5.902200,-38.631400,67.50,85.50,51.70,42.30,68.80,80.90,56.90,43.70,81.40,135.70,35.50,82.70,,,,,,,,,,,,,,
-5.224700,-38.200600,182.80,92.10,89.90,65.00,55.10,82.20,71.10,97.10,43.30,104.30,68.90,96.50,,,,,,,,,,,,,,
-5.580000,-39.368100,58.00,77.00,120.00,45.00,50.00,60.00,96.00,76.00,65.00,100.00,58.00,67.00,,,,,,,,,,,,,,
-5.201400,-39.291700,47.20,69.80,61.80,31.30,66.80,61.30,66.50,86.60,98.50,88.30,41.00,62.20,,,,,,,,,,,,,,
-5.224700,-41.736900,50.80,98.40,74.10,98.20,83.40,86.70,99.70,77.40,,,,,,,,,,,,,,,,,,
-5.667500,-42.206100,94.80,76.60,137.70,58.50,80.50,63.50,48.60,108.30,,,,,,,,,,,,,,,,,,
-5.087800,-42.799200,,,,78.80,124.00,75.50,144.80,105.70,,,,,,,,,,,,,,,,,,
-5.484400,-43.358600,61.00,63.10,86.00,53.50,80.00,84.00,83.40,63.50,,,,,,,,,,,,,,,,,,
-5.709200,-43.587200,80.70,121.30,97.20,129.40,111.70,68.50,81.70,65.30,,,,,,,,,,,,,,,,,,
-5.572800,-43.024200,80.30,94.30,150.20,77.30,89.60,100.50,62.90,105.50,,,,,,,,,,,,,,,,,,
-5.975600,-43.061700,103.00,66.80,127.00,79.30,111.00,80.00,69.00,61.30,,,,,,,,,,,,,,,,,,
-5.970000,-43.415800,83.20,135.70,147.30,65.40,167.30,88.70,132.50,88.10,,,,,,,,,,,,,,,,,,
-5.419700,-44.928300,89.40,113.50,86.50,60.30,68.30,73.70,76.30,75.30,,,,,,,,,,,,,,,,,,
-5.405000,-44.335600,75.80,92.10,82.90,68.00,81.30,92.70,75.40,66.90,,,,,,,,,,,,,,,,,,
-5.727500,-45.313100,,,75.00,82.20,117.90,101.90,63.90,105.20,,,,,,,,,,,,,,,,,,
-5.604400,-46.238600,121.50,62.60,75.60,78.60,53.60,124.60,101.90,78.30,,,,,,,,,,,,,,,,,,
-5.884200,-46.701900,137.40,100.20,100.20,141.80,81.80,57.40,112.00,86.40,,,,,,,,,,,,,,,,,,
-5.594400,-47.019200,107.40,158.20,96.20,61.00,91.20,82.50,65.20,64.80,,,,,,,,,,,,,,,,,,
-5.648300,-48.125000,117.50,81.80,131.70,100.70,97.90,70.70,66.50,116.00,85.80,100.40,111.00,82.10,,,,,,,,,,,,,,
-5.259700,-48.206900,115.50,101.30,94.20,110.80,107.50,106.20,105.20,73.40,93.20,97.00,75.00,86.30,,,,,,,,,,,,,,
-6.085300,-35.248600,110.00,48.00,158.00,112.50,117.00,90.80,51.20,150.00,70.70,78.00,64.50,96.80,,,,,,,,,,,,,,
-6.328600,-35.695800,,,,10.00,49.00,130.60,25.00,42.70,47.90,157.50,31.40,31.50,,,,,,,,,,,,,,
-6.598300,-35.529200,,,,36.70,46.40,80.10,61.90,49.90,98.70,80.90,52.30,23.00,,,,,,,,,,,,,,
-6.242800,-35.994700,26.40,31.40,70.10,26.10,29.20,50.20,51.00,41.00,48.10,64.30,47.70,17.20,,,,,,,,,,,,,,
-6.593600,-36.785000,57.00,44.10,90.70,70.50,55.70,94.60,39.20,75.30,58.80,115.50,42.70,60.00,,,,,,,,,,,,,,
-6.462200,-37.302500,85.20,75.00,73.00,88.00,48.30,80.20,41.60,69.50,68.70,71.60,87.90,85.50,,,,,,,,,,,,,,
-6.451100,-37.090600,97.00,65.00,66.80,48.00,40.70,78.30,41.00,61.00,54.80,81.20,66.10,46.00,,,,,,,,,,,,,,
-6.762800,-38.960600,87.60,69.50,76.90,70.30,77.40,51.30,27.80,71.40,57.80,92.90,37.50,120.30,,,,,,,,,,,,,,
-6.408900,-38.863600,65.00,59.60,70.00,39.30,87.70,99.40,68.00,68.20,68.10,68.10,80.00,53.30,,,,,,,,,,,,,,
-6.212800,-38.425600,48.20,100.40,77.00,51.60,56.20,93.20,56.40,78.40,58.20,108.10,43.50,82.50,,,,,,,,,,,,,,
-6.374400,-39.293300,68.10,74.30,105.00,94.30,87.40,90.40,53.20,94.10,94.90,97.90,88.70,86.70,,,,,,,,,,,,,,
-6.646100,-39.959400,48.00,42.50,70.20,72.00,41.00,50.80,43.40,42.80,70.10,61.90,84.20,38.50,,,,,,,,,,,,,,
-6.973100,-42.106100,82.00,65.00,68.50,59.90,103.00,86.70,63.50,86.50,,,,,,,,,,,,,,,,,,
-6.610000,-43.401100,116.30,95.70,82.10,67.30,77.90,80.90,54.80,76.60,,,,,,,,,,,,,,,,,,
-6.174700,-43.779200,85.30,85.70,178.20,58.60,118.60,76.20,94.20,126.00,,,,,,,,,,,,,,,,,,
-6.761400,-43.027800,69.40,55.40,83.60,49.20,121.00,87.60,95.20,105.00,,,,,,,,,,,,,,,,,,
-6.027500,-44.253900,75.20,73.70,77.80,56.10,164.30,89.00,69.90,126.70,,,,,,,,,,,,,,,,,,
-6.369200,-44.359400,80.50,87.90,107.10,82.60,149.10,63.70,103.50,54.30,,,,,,,,,,,,,,,,,,
-6.010300,-44.344400,83.40,82.40,86.10,52.10,70.40,69.10,65.80,82.60,,,,,,,,,,,,,,,,,,
-6.063900,-44.716400,86.40,77.90,127.10,73.60,115.10,107.40,88.50,59.10,,,,,,,,,,,,,,,,,,
-6.002200,-45.394200,99.70,76.40,81.30,46.80,128.30,110.50,103.40,110.80,,,,,,,,,,,,,,,,,,
-6.844200,-45.109200,98.10,99.50,87.00,63.00,69.70,64.60,70.00,71.50,,,,,,,,,,,,,,,,,,
-6.039200,-45.920600,12.30,18.00,16.20,11.50,85.00,11.30,,98.00,,,,,,,,,,,,,,,,,,
-6.818300,-46.333600,96.00,64.60,81.80,72.10,101.90,57.10,71.80,73.40,,,,,,,,,,,,,,,,,,
-6.192800,-46.268900,101.40,74.70,168.20,136.80,86.00,140.00,52.10,97.00,,,,,,,,,,,,,,,,,,
-6.427800,-49.419700,98.20,97.80,170.00,91.00,127.50,71.00,79.00,96.80,124.60,91.50,100.40,85.50,,,,,,,,,,,,,,
-6.794700,-49.548600,144.20,72.00,163.00,67.70,105.00,64.10,73.50,96.30,73.70,108.70,77.50,84.10,,,,,,,,,,,,,,
-6.105300,-49.377500,67.50,78.20,79.80,108.10,68.70,97.90,56.40,65.60,57.90,55.60,119.10,68.50,,,,,,,,,,,,,,
-6.869200,-49.098600,130.90,88.20,142.30,66.40,91.00,105.00,83.20,98.90,101.00,66.90,96.20,91.30,,,,,,,,,,,,,,
-6.795300,-59.040800,93.20,98.30,74.30,80.30,64.30,125.20,150.20,53.50,79.40,82.30,93.10,70.40,,,,,,,,,,,,,,
-6.360600,-61.766700,86.20,77.00,93.50,,,,,,,,62.00,,,,,,,,,,,,,,,
-6.538900,-64.385800,80.20,88.10,120.50,,,,,,,,72.50,76.40,,,,,,,,,,,,,,
-7.029400,-35.468100,43.00,53.30,47.90,37.50,79.50,73.00,57.50,47.30,85.00,183.60,48.50,27.00,,,,,,,,,,,,,,
-7.130000,-35.047500,50.80,45.10,48.80,80.00,105.70,101.10,46.50,84.30,103.50,56.70,45.10,48.50,,,,,,,,,,,,,,
-7.968100,-35.156700,98.40,82.70,74.60,40.50,65.20,114.00,62.90,68.50,103.70,48.00,140.90,67.90,,,,,,,,,,,,,,
-7.894200,-35.173300,112.10,120.60,87.40,49.20,52.70,112.10,52.20,139.20,55.30,75.80,118.90,65.40,,,,,,,,,,,,,,
-7.942800,-35.634200,64.80,49.60,45.60,21.20,58.10,81.10,51.40,93.50,45.70,73.80,98.30,52.10,,,,,,,,,,,,,,
-7.878900,-35.451900,63.70,59.80,50.60,41.60,43.80,68.90,58.90,94.60,50.60,155.60,125.50,98.40,,,,,,,,,,,,,,
